event_id,account_id,event_date,event_name
EV-067-1,ACC-067,2026-01-16,activation_complete
EV-067-2,ACC-067,2026-02-16,report_view
EV-067-3,ACC-067,2026-03-26,report_view
EV-067-4,ACC-067,2026-02-19,report_view
EV-067-5,ACC-067,2026-04-13,report_view
EV-068-1,ACC-068,2026-02-21,activation_complete
EV-068-2,ACC-068,2026-03-11,report_view
EV-069-1,ACC-069,2026-01-21,activation_complete
EV-069-2,ACC-069,2026-04-26,report_view
EV-069-3,ACC-069,2026-03-21,report_view
EV-070-1,ACC-070,2026-01-19,activation_complete
EV-070-2,ACC-070,2026-03-06,report_view
EV-070-3,ACC-070,2026-03-03,report_view
EV-070-4,ACC-070,2026-04-14,report_view
EV-070-5,ACC-070,2026-03-05,report_view
EV-071-1,ACC-071,2026-01-09,activation_complete
EV-071-2,ACC-071,2026-02-25,report_view
EV-071-3,ACC-071,2026-03-01,report_view
EV-072-1,ACC-072,2026-01-20,activation_complete
EV-072-2,ACC-072,2026-04-04,report_view
EV-072-3,ACC-072,2026-03-22,report_view
EV-072-4,ACC-072,2026-03-31,report_view
EV-073-1,ACC-073,2026-01-28,activation_complete
EV-073-2,ACC-073,2026-02-01,report_view
EV-073-3,ACC-073,2026-04-02,report_view
EV-074-1,ACC-074,2026-01-16,activation_complete
EV-074-2,ACC-074,2026-03-02,report_view
EV-074-3,ACC-074,2026-02-17,report_view
EV-074-4,ACC-074,2026-01-29,report_view
EV-075-2,ACC-075,2026-05-02,report_view
EV-076-1,ACC-076,2026-03-03,activation_complete
EV-076-2,ACC-076,2026-06-16,report_view
EV-077-1,ACC-077,2026-02-12,activation_complete
EV-077-2,ACC-077,2026-02-23,report_view
EV-077-3,ACC-077,2026-04-08,report_view
EV-077-4,ACC-077,2026-05-19,report_view
EV-078-1,ACC-078,2026-02-28,activation_complete
EV-078-2,ACC-078,2026-03-02,report_view
EV-079-1,ACC-079,2026-02-09,activation_complete
EV-079-2,ACC-079,2026-03-19,report_view
EV-080-1,ACC-080,2026-03-31,activation_complete
EV-080-2,ACC-080,2026-06-20,report_view
EV-080-3,ACC-080,2026-04-03,report_view
EV-081-1,ACC-081,2026-03-09,activation_complete
EV-081-2,ACC-081,2026-06-11,report_view
EV-081-3,ACC-081,2026-05-28,report_view
EV-081-4,ACC-081,2026-03-11,report_view
EV-081-5,ACC-081,2026-06-07,report_view
EV-082-1,ACC-082,2026-03-21,activation_complete
EV-082-2,ACC-082,2026-04-15,report_view
EV-082-3,ACC-082,2026-06-09,report_view
EV-082-4,ACC-082,2026-06-06,report_view
EV-083-1,ACC-083,2026-03-14,activation_complete
EV-083-2,ACC-083,2026-05-16,report_view
EV-083-3,ACC-083,2026-03-19,report_view
EV-083-4,ACC-083,2026-05-09,report_view
EV-083-5,ACC-083,2026-06-07,report_view
EV-084-1,ACC-084,2026-02-22,activation_complete
EV-084-2,ACC-084,2026-02-25,report_view
EV-085-1,ACC-085,2026-02-19,activation_complete
EV-085-2,ACC-085,2026-04-11,report_view
EV-085-3,ACC-085,2026-04-08,report_view
EV-086-1,ACC-086,2026-03-06,activation_complete
EV-086-2,ACC-086,2026-06-07,report_view
EV-086-3,ACC-086,2026-06-17,report_view
EV-086-4,ACC-086,2026-06-06,report_view
EV-086-5,ACC-086,2026-05-07,report_view
EV-087-1,ACC-087,2026-03-21,activation_complete
EV-087-2,ACC-087,2026-03-20,report_view
EV-087-3,ACC-087,2026-06-03,report_view
EV-088-1,ACC-088,2026-01-14,activation_complete
EV-088-2,ACC-088,2026-02-15,report_view
EV-088-3,ACC-088,2026-02-03,report_view
EV-088-4,ACC-088,2026-02-21,report_view
EV-088-5,ACC-088,2026-02-21,report_view
EV-089-1,ACC-089,2026-03-04,activation_complete
EV-089-2,ACC-089,2026-06-10,report_view
EV-089-3,ACC-089,2026-05-12,report_view
EV-090-2,ACC-090,2026-03-08,report_view
EV-090-3,ACC-090,2026-04-14,report_view
EV-090-4,ACC-090,2026-04-08,report_view
EV-090-5,ACC-090,2026-06-02,report_view
EV-091-1,ACC-091,2026-02-28,activation_complete
EV-091-2,ACC-091,2026-03-12,report_view
EV-091-3,ACC-091,2026-06-03,report_view
EV-091-4,ACC-091,2026-05-30,report_view
EV-091-5,ACC-091,2026-05-23,report_view
EV-092-1,ACC-092,2026-02-01,activation_complete
EV-092-2,ACC-092,2026-04-23,report_view
EV-093-1,ACC-093,2026-01-09,activation_complete
EV-093-2,ACC-093,2026-02-23,report_view
EV-093-3,ACC-093,2026-01-07,report_view
EV-094-1,ACC-094,2026-03-31,activation_complete
EV-094-2,ACC-094,2026-05-31,report_view
EV-094-3,ACC-094,2026-05-27,report_view
EV-094-4,ACC-094,2026-05-25,report_view
EV-094-5,ACC-094,2026-04-09,report_view
EV-095-1,ACC-095,2026-01-09,activation_complete
EV-095-2,ACC-095,2026-01-09,report_view
EV-095-3,ACC-095,2026-01-14,report_view
EV-095-4,ACC-095,2026-01-19,report_view
EV-096-1,ACC-096,2026-03-15,activation_complete
EV-096-2,ACC-096,2026-04-24,report_view
EV-096-3,ACC-096,2026-03-27,report_view
EV-096-4,ACC-096,2026-06-15,report_view
EV-097-1,ACC-097,2026-03-10,activation_complete
EV-097-2,ACC-097,2026-05-11,report_view
EV-098-1,ACC-098,2026-02-18,activation_complete
EV-098-2,ACC-098,2026-04-21,report_view
EV-098-3,ACC-098,2026-03-29,report_view
EV-098-4,ACC-098,2026-03-28,report_view
EV-098-5,ACC-098,2026-05-17,report_view
EV-099-1,ACC-099,2026-01-19,activation_complete
EV-099-2,ACC-099,2026-02-04,report_view
EV-100-2,ACC-100,2026-03-08,report_view
EV-100-3,ACC-100,2026-03-01,report_view
EV-100-4,ACC-100,2026-01-19,report_view
EV-101-1,ACC-101,2026-02-03,activation_complete
EV-101-2,ACC-101,2026-04-08,report_view
EV-101-3,ACC-101,2026-03-29,report_view
EV-101-4,ACC-101,2026-03-14,report_view
EV-101-5,ACC-101,2026-02-15,report_view
EV-102-1,ACC-102,2026-03-11,activation_complete
EV-102-2,ACC-102,2026-03-28,report_view
EV-102-3,ACC-102,2026-05-20,report_view
EV-103-1,ACC-103,2026-03-10,activation_complete
EV-103-2,ACC-103,2026-03-27,report_view
EV-104-1,ACC-104,2026-02-19,activation_complete
EV-104-2,ACC-104,2026-02-22,report_view
EV-104-3,ACC-104,2026-04-11,report_view
EV-104-4,ACC-104,2026-02-20,report_view
EV-105-1,ACC-105,2026-02-23,activation_complete
EV-105-2,ACC-105,2026-05-29,report_view
EV-105-3,ACC-105,2026-05-28,report_view
EV-106-1,ACC-106,2026-03-26,activation_complete
EV-106-2,ACC-106,2026-07-05,report_view
EV-106-3,ACC-106,2026-05-05,report_view
EV-107-1,ACC-107,2026-01-11,activation_complete
EV-107-2,ACC-107,2026-01-17,report_view
EV-108-1,ACC-108,2026-01-24,activation_complete
EV-108-2,ACC-108,2026-03-28,report_view
EV-109-1,ACC-109,2026-03-24,activation_complete
EV-109-2,ACC-109,2026-06-25,report_view
EV-109-3,ACC-109,2026-05-26,report_view
EV-109-4,ACC-109,2026-04-02,report_view
EV-110-2,ACC-110,2026-05-23,report_view
EV-111-1,ACC-111,2026-03-03,activation_complete
EV-111-2,ACC-111,2026-03-11,report_view
EV-111-3,ACC-111,2026-05-01,report_view
EV-111-4,ACC-111,2026-03-25,report_view
EV-111-5,ACC-111,2026-05-02,report_view
EV-112-1,ACC-112,2026-02-14,activation_complete
EV-112-2,ACC-112,2026-04-06,report_view
EV-112-3,ACC-112,2026-04-18,report_view
EV-112-4,ACC-112,2026-04-22,report_view
EV-112-5,ACC-112,2026-04-11,report_view
EV-113-1,ACC-113,2026-03-13,activation_complete
EV-113-2,ACC-113,2026-05-28,report_view
EV-113-3,ACC-113,2026-04-19,report_view
EV-113-4,ACC-113,2026-06-09,report_view
EV-113-5,ACC-113,2026-06-01,report_view
EV-114-1,ACC-114,2026-01-19,activation_complete
EV-114-2,ACC-114,2026-03-17,report_view
EV-114-3,ACC-114,2026-02-10,report_view
EV-114-4,ACC-114,2026-03-22,report_view
EV-115-1,ACC-115,2026-03-22,activation_complete
EV-115-2,ACC-115,2026-05-22,report_view
EV-115-3,ACC-115,2026-05-06,report_view
EV-115-4,ACC-115,2026-04-15,report_view
EV-116-1,ACC-116,2026-03-23,activation_complete
EV-116-2,ACC-116,2026-05-20,report_view
EV-117-1,ACC-117,2026-01-24,activation_complete
EV-117-2,ACC-117,2026-02-23,report_view
EV-117-3,ACC-117,2026-05-03,report_view
EV-117-4,ACC-117,2026-03-25,report_view
EV-118-1,ACC-118,2026-03-01,activation_complete
EV-118-2,ACC-118,2026-05-13,report_view
EV-118-3,ACC-118,2026-06-07,report_view
EV-118-4,ACC-118,2026-03-16,report_view
EV-119-1,ACC-119,2026-02-28,activation_complete
EV-119-2,ACC-119,2026-03-02,report_view
EV-119-3,ACC-119,2026-05-14,report_view
EV-119-4,ACC-119,2026-05-20,report_view
EV-120-2,ACC-120,2026-05-28,report_view
EV-120-3,ACC-120,2026-05-08,report_view
EV-120-4,ACC-120,2026-04-23,report_view
EV-004-2,ACC-004,2026-05-02,report_view
