account_id,signup_date,plan,acquisition_channel,is_test
ACC-088,2026-01-07,Growth,Organic,false
ACC-089,2026-03-01,Pro,Paid Search,false
ACC-090,2026-02-17,Basic,Organic,false
ACC-091,2026-02-21,Basic,Organic,false
ACC-092,2026-01-28,Pro,Paid Search,false
ACC-093,2026-01-03,Pro,Paid Search,false
ACC-094,2026-03-24,Basic,Referral,false
ACC-095,2026-01-05,Pro,Paid Search,false
ACC-096,2026-03-14,Pro,Referral,false
ACC-097,2026-03-09,Pro,Paid Search,false
ACC-098,2026-02-15,Pro,Partner,true
ACC-099,2026-01-15,Pro,Referral,false
ACC-100,2026-01-06,Basic,Organic,false
ACC-101,2026-01-31,Pro,Paid Search,false
ACC-102,2026-03-09,Growth,Paid Search,false
ACC-103,2026-03-05,Pro,Paid Search,false
ACC-104,2026-02-14,Basic,Partner,false
ACC-105,2026-02-17,Growth,Organic,false
ACC-106,2026-03-22,Basic,Partner,false
ACC-107,2026-01-10,Basic,Organic,false
ACC-108,2026-01-23,Pro,Partner,false
ACC-109,2026-03-23,Basic,Paid Search,false
ACC-110,2026-02-02,Basic,Paid Search,false
ACC-111,2026-03-01,Basic,Organic,false
ACC-112,2026-02-12,Pro,Partner,false
ACC-113,2026-03-09,Pro,Paid Search,false
ACC-114,2026-01-17,Pro,Partner,false
ACC-115,2026-03-15,Pro,Organic,false
ACC-116,2026-03-18,Basic,Referral,false
ACC-117,2026-01-23,Pro,Paid Search,false
ACC-118,2026-02-24,Basic,Paid Search,false
ACC-119,2026-02-27,Pro,Referral,false
ACC-120,2026-03-22,Basic,Partner,false
