Order ID,Order Date,Region,Salesperson,Channel,Category,Product,Quantity,Unit Price,Discount %,Revenue,Cost,Status
ORD-10120,2026-04-25,East,Kabir,Social,Fashion,Everyday Tee,3,899,0,2697.0,1466.43,Completed
ORD-10121,2026-04-25,West,Diya,Email,Fashion,Running Cap,1,2499,0,2499.0,1306.45,Completed
ORD-10122,2026-04-25,East,Vikram,Email,Fashion,Canvas Tote,2,1999,5,3798.1,2465.78,Completed
ORD-10123,2026-04-26,North,Diya,Paid Search,Beauty,Body Lotion,2,2499,15,4248.3,2154.82,Completed
ORD-10124,2026-04-26,East,Sara,Social,Fashion,Canvas Tote,2,499,10,898.2,463.13,Completed
ORD-10125,2026-04-26,East,Meera,Referral,Fashion,Everyday Tee,1,499,15,424.15,322.0,Completed
ORD-10126,2026-04-27,West,Sara,Email,Home,Desk Lamp,1,2499,0,2499.0,1725.73,Completed
ORD-10127,2026-04-27,North,Meera,Paid Search,Sports,Resistance Band,1,899,20,719.2,442.09,Completed
ORD-10128,2026-04-27,South,Zoya,Referral,Beauty,Face Serum,1,1499,10,1349.1,777.94,Completed
ORD-10129,2026-04-27,West,Kabir,Paid Search,Beauty,Hair Oil,1,699,0,699.0,468.11,Completed
ORD-10130,2026-04-27,West,Rohan,Organic,Sports,Yoga Mat,1,1499,0,1499.0,878.48,Completed
ORD-10131,2026-04-28,South,Sara,Referral,Sports,Water Bottle,1,1999,0,1999.0,949.09,Completed
ORD-10132,2026-04-28,North,Rohan,Email,Electronics,Wireless Earbuds,1,1999,20,1599.2,1158.16,Completed
ORD-10133,2026-04-28,West ,Sara,Email,Home,Coffee Press,2,899,5,1708.1,837.82,Completed
ORD-10134,2026-04-28,West,Vikram,Referral,Home,Storage Box,2,1499,0,2998.0,1537.58,Completed
ORD-10135,2026-04-28,West,Aarav,Organic,Home,Desk Lamp,1,1499,15,1274.15,777.58,Completed
ORD-10136,2026-04-29,West,Diya,Social,Home,Desk Lamp,2,899,0,1798.0,1063.95,Completed
ORD-10137,2026-04-29,South,Zoya,Referral,Fashion,Running Cap,1,2499,5,2374.05,1108.38,Completed
ORD-10138,2026-04-29,East,Meera,Referral,Sports,Resistance Band,2,499,0,998.0,660.27,Returned
ORD-10139,2026-04-29,West,Sara,Paid Search,Sports,Yoga Mat,1,499,0,499.0,231.9,Completed
ORD-10140,2026-04-29,West,Sara,Organic,Sports,Resistance Band,1,1499,0,1499.0,637.56,Completed
ORD-10141,2026-04-29,West,Meera,Organic,Sports,Water Bottle,3,2499,15,6372.45,4536.52,Completed
ORD-10142,2026-04-30,West,Meera,Organic,Home,Coffee Press,3,1999,10,5397.3,3863.07,Completed
ORD-10143,2026-04-30,West,Kabir,Referral,Fashion,Canvas Tote,1,1199,15,1019.15,782.67,Completed
ORD-10144,2026-04-30,South,Rohan,Referral,Sports,Water Bottle,3,1199,10,3237.3,2288.69,Completed
ORD-10145,2026-04-30,West,Sara,Social,Home,Desk Lamp,1,1499,0,1499.0,967.75,Completed
ORD-10146,2026-04-30,East,Kabir,Email,Sports,Resistance Band,1,899,0,899.0,599.98,Completed
ORD-10147,2026-04-30,North,Rohan,Paid Search,Fashion,Running Cap,1,899,5,854.05,539.26,Completed
ORD-10148,2026-04-30,North,Zoya,Organic,Sports,Resistance Band,2,699,0,1398.0,734.92,Completed
ORD-10149,2026-05-01,North,Diya,Referral,Sports,Yoga Mat,2,1999,5,3798.1,2840.74,Completed
ORD-10150,2026-05-01,South,Vikram,Social,Sports,Resistance Band,3,2499,0,7497.0,5541.0,Completed
ORD-10151,2026-05-01,South,Kabir,Referral,Fashion,Everyday Tee,1,899,10,809.1,528.42,Completed
ORD-10152,01/05/2026,West,Meera,Paid Search,Fashion,Everyday Tee,1,899,0,899.0,462.45,Completed
ORD-10153,2026-05-02,West,Meera,Social,Beauty,Hair Oil,1,499,5,474.05,251.22,Completed
ORD-10154,2026-05-02,East,Vikram,Referral,Fashion,Canvas Tote,2,1999,10,3598.2,2071.68,Completed
ORD-10155,2026-05-02,East,Zoya,Referral,Electronics,Phone Stand,1,899,10,809.1,485.06,Completed
ORD-10156,2026-05-02,South,Meera,Referral,Home,Coffee Press,2,2499,20,3998.4,2197.93,Completed
ORD-10157,2026-05-02,South,Kabir,Referral,Home,Storage Box,2,1199,0,2398.0,1049.85,Completed
ORD-10158,,,Diya,Organic,Beauty,Hair Oil,1,1499,5,1424.05,734.1,Completed
ORD-10159,2026-05-02,West ,Vikram,Email,Fashion,Running Cap,1,1499,0,1499.0,996.93,Canceled
ORD-10160,2026-05-03,West,Kabir,Paid Search,Beauty,Body Lotion,1,1999,15,1699.15,1091.01,Completed
ORD-10161,2026-05-03,North,Diya,Organic,Electronics,Smart Watch,2,1999,15,3398.3,2031.82,Completed
ORD-10162,2026-05-03, West,Zoya,Paid Search,Sports,Yoga Mat,1,699,0,699.0,303.47,Completed
ORD-10163,2026-05-03,South,Rohan,Paid Search,Electronics,Wireless Earbuds,2,899,0,1798.0,939.66,Completed
ORD-10164,2026-05-03,South,Sara,Social,Beauty,Body Lotion,1,499,10,449.1,288.72,Canceled
ORD-10165,2026-05-03,East,Zoya,Organic,Beauty,Body Lotion,1,899,5,854.05,419.11,Completed
ORD-10166,2026-05-04,West,Meera,Organic,Beauty,Hair Oil,2,699,5,1328.1,628.52,Completed
ORD-10167,2026-05-04,East,Sara,Email,Beauty,Hair Oil,2,1499,0,2998.0,1719.07,Completed
ORD-10168,2026-05-04,North,Sara,Email,Home,Desk Lamp,3,499,15,1272.45,1067.12,Returned
ORD-10169,2026-05-04,West,Sara,Paid Search,Beauty,Hair Oil,3,899,0,2697.0,1537.93,Completed
ORD-10170,2026-05-04,East,Kabir,Paid Search,Fashion,Canvas Tote,1,1499,20,1199.2,829.88,Completed
ORD-10171,2026-05-04,East,Zoya,Social,Home,Storage Box,2,2499,0,4998.0,3644.95,Completed
ORD-10172,2026-05-04,South,Diya,Organic,Fashion,Everyday Tee,1,1999,10,1799.1,861.22,Completed
ORD-10173,2026-05-05,West,Zoya,Social,Home,Coffee Press,1,499,15,424.15,358.71,Completed
ORD-10174,2026-05-05,North,Vikram,Paid Search,Electronics,Phone Stand,2,1199,0,2398.0,1542.67,Completed
ORD-10175,2026-05-05,North,Zoya,Referral,Electronics,Phone Stand,1,699,0,699.0,508.16,Completed
ORD-10176,2026-05-06,South ,Kabir,Organic,Fashion,Running Cap,1,1999,20,1599.2,845.63,Completed
ORD-10177,2026-05-06,West,Zoya,Email,Beauty,Hair Oil,1,1499,20,1199.2,961.66,Returned
ORD-10178,06/05/2026,North,Vikram,Organic,Electronics,Phone Stand,1,1499,10,1349.1,698.75,Completed
ORD-10179,2026-05-06,East,Diya,Referral,Home,Coffee Press,1,1499,20,1199.2,1008.77,Completed
ORD-10180,2026-05-07,North,Rohan,Social,Electronics,Smart Watch,1,2499,0,2499.0,1073.27,Completed
ORD-10181,2026-05-07,West,Diya,Organic,Home,Storage Box,2,1199,5,2278.1,1196.28,Completed
ORD-10182,2026-05-07,East,Rohan,Organic,Home,Storage Box,3,2499,15,6372.45,4215.68,Completed
ORD-10183,2026-05-07,South,Sara,Social,Electronics,Wireless Earbuds,2,1199,10,2158.2,1466.07,Completed
ORD-10184,2026-05-07,North,Kabir,Paid Search,Fashion,Canvas Tote,2,2499,0,4998.0,3195.23,Completed
ORD-10185,2026-05-08,East,Zoya,Referral,Fashion,Canvas Tote,1,499,0,499.0,248.96,Completed
ORD-10186,2026-05-08,South,Kabir,Email,Beauty,Face Serum,1,899,0,899.0,473.88,Canceled
ORD-10187,2026-05-08,East,Meera,Email,Sports,Resistance Band,1,1199,0,1199.0,874.89,Completed
ORD-10188,2026-05-08,West,Meera,Social,Fashion,Canvas Tote,1,499,10,449.1,325.7,Completed
ORD-10189,2026-05-08,East,Zoya,Referral,Electronics,Smart Watch,3,1199,0,3597.0,1595.88,Completed
ORD-10190,2026-05-09,West,Aarav,Referral,Sports,Yoga Mat,1,1999,20,1599.2,1066.67,Completed
ORD-10191,2026-05-09,West,Vikram,Social,Fashion,Canvas Tote,1,499,0,499.0,280.76,Completed
ORD-10192,2026-05-09,South,Zoya,Paid Search,Fashion,Everyday Tee,2,499,0,998.0,518.77,Completed
ORD-10193,2026-05-09,West,Diya,Paid Search,Fashion,Canvas Tote,1,1199,15,1019.15,829.39,Completed
ORD-10194,2026-05-09,South,Vikram,Social,Sports,Yoga Mat,2,699,0,1398.0,873.68,Completed
ORD-10195,2026-05-09,North,Diya,Referral,Sports,Yoga Mat,2,1499,5,2848.1,1319.18,Completed
ORD-10196,2026-05-10,East,Diya,Email,Fashion,Everyday Tee,2,499,0,998.0,544.52,Completed
ORD-10197,2026-05-10,East,Rohan,Organic,Beauty,Hair Oil,1,2499,15,2124.15,1143.83,Completed
ORD-10198,2026-05-10,South,Kabir,Referral,Fashion,Running Cap,1,1499,5,1424.05,962.21,Completed
ORD-10199,2026-05-10,South,Vikram,Referral,Beauty,Body Lotion,1,699,0,699.0,337.23,Completed
ORD-10200,11/05/2026,West,Rohan,Paid Search,Beauty,Hair Oil,2,1199,15,2038.3,1231.3,Completed
ORD-10201,2026-05-11,East,Sara,Referral,Home,Storage Box,2,1999,20,3198.4,2732.44,Completed
ORD-10202,2026-05-11,North,Diya,Social,Beauty,Hair Oil,1,1199,0,1199.0,604.42,Completed
ORD-10203,2026-05-11,North,Meera,Organic,Home,Desk Lamp,3,1499,15,3822.45,2186.07,Completed
ORD-10204,2026-05-11,East,Diya,Paid Search,Sports,Water Bottle,2,1499,0,2998.0,2204.6,Completed
ORD-10205,2026-05-11,West,Zoya,Paid Search,Electronics,Smart Watch,3,699,15,1782.45,1334.52,Completed
ORD-10206,2026-05-11,East,Zoya,Social,Beauty,Body Lotion,2,499,15,848.3,699.34,Completed
ORD-10207,2026-05-12,North,Zoya,Email,Electronics,Phone Stand,2,1999,15,3398.3,2734.44,Completed
ORD-10208,2026-05-12,East,Zoya,Organic,Fashion,Canvas Tote,2,1499,0,2998.0,1354.69,Completed
ORD-10209,2026-05-12,North,Rohan,Organic,Home,Storage Box,2,499,5,948.1,717.04,Completed
ORD-10210,2026-05-12,East,Diya,Organic,Fashion,Everyday Tee,1,1999,15,1699.15,1258.88,Completed
ORD-10211,2026-05-12,,Kabir,Social,Beauty,Face Serum,1,1499,0,1499.0,1042.27,Completed
ORD-10212,2026-05-13,South,Kabir,Organic,Beauty,Face Serum,3,2499,0,7497.0,5246.69,Completed
ORD-10213,2026-05-13,North,Diya,Organic,Sports,Resistance Band,1,1199,0,1199.0,833.53,Completed
ORD-10214,2026-05-13,South,Rohan,Organic,Electronics,Phone Stand,3,1199,0,3597.0,2147.72,Canceled
ORD-10215,2026-05-14,South,Meera,Social,Sports,Resistance Band,2,699,15,1188.3,759.79,Completed
ORD-10216,2026-05-14,North,Diya,Organic,Sports,Yoga Mat,1,899,0,899.0,513.08,Completed
ORD-10217,2026-05-14,North,Vikram,Organic,Electronics,Smart Watch,1,499,0,499.0,277.22,Canceled
ORD-10218,2026-05-14,South,Diya,Email,Fashion,Everyday Tee,1,499,10,449.1,331.45,Canceled
ORD-10219,2026-05-14,West,Aarav,Paid Search,Home,Desk Lamp,1,499,5,474.05,237.63,Completed
ORD-10220,2026-05-15,South,Diya,Organic,Beauty,Body Lotion,2,1499,20,2398.4,1962.31,Completed
ORD-10221,2026-05-15,East,Kabir,Email,Beauty,Body Lotion,2,499,0,998.0,578.72,Completed
ORD-10222,,,Sara,Social,Fashion,Everyday Tee,2,1999,15,3398.3,1737.99,Completed
ORD-10223,2026-05-16,South,Sara,Organic,Electronics,Phone Stand,3,1999,15,5097.45,2668.21,Completed
ORD-10224,2026-05-16,North,Aarav,Email,Home,Desk Lamp,2,499,5,948.1,595.8,Completed
ORD-10225,2026-05-16,South,Meera,Paid Search,Fashion,Running Cap,1,1999,10,1799.1,1308.12,Completed
ORD-10226,2026-05-16,,Rohan,Organic,Beauty,Face Serum,1,1499,0,1499.0,810.07,Completed
ORD-10227,2026-05-17,south,Diya,Referral,Beauty,Body Lotion,1,699,15,594.15,376.9,Completed
ORD-10228,2026-05-17,North,Sara,Social,Sports,Yoga Mat,3,2499,5,7122.15,3774.87,Completed
ORD-10229,2026-05-17,East,Sara,Social,Fashion,Canvas Tote,1,699,0,699.0,394.14,Canceled
ORD-10230,2026-05-17,North,Aarav,Paid Search,Sports,Water Bottle,1,1199,0,1199.0,773.96,Completed
ORD-10231,2026-05-18,South,Zoya,Referral,Electronics,Phone Stand,1,899,5,854.05,493.92,Completed
ORD-10232,2026-05-18,south,Diya,Referral,Electronics,Smart Watch,1,2499,20,1999.2,1553.62,Completed
ORD-10233,2026-05-18,East,Zoya,Organic,Electronics,Wireless Earbuds,1,699,15,594.15,303.13,Completed
ORD-10234,2026-05-18,South,Kabir,Organic,Sports,Water Bottle,3,1199,5,3417.15,1832.86,Completed
ORD-10235,2026-05-18,South,Aarav,Social,Fashion,Canvas Tote,2,1499,5,2848.1,1763.6,Completed
ORD-10236,2026-05-19,West,Rohan,Organic,Sports,Water Bottle,1,1499,10,1349.1,1018.45,Completed
ORD-10237,2026-05-19,West,Meera,Referral,Sports,Water Bottle,2,699,0,1398.0,612.17,Completed
ORD-10238,2026-05-19,West,Kabir,Referral,Fashion,Everyday Tee,1,699,10,629.1,372.24,Completed
ORD-10239,, South,Meera,Paid Search,Beauty,Hair Oil,1,699,5,664.05,498.9,Completed
ORD-10240,2026-05-19,East,Sara,Social,Home,Storage Box,1,499,0,499.0,362.96,Completed
ORD-10241,2026-05-20,North,Sara,Paid Search,Fashion,Canvas Tote,1,699,0,699.0,451.76,Completed
ORD-10242,2026-05-20,South,Aarav,Paid Search,Beauty,Body Lotion,3,1999,0,5997.0,4426.81,Completed
ORD-10243,2026-05-20,East,Diya,Email,Sports,Yoga Mat,3,1499,0,4497.0,2130.34,Canceled
ORD-10244,20/05/2026,West,Kabir,Social,Electronics,Smart Watch,1,699,15,594.15,457.44,Completed
ORD-10245,2026-05-20,West,Aarav,Email,Beauty,Body Lotion,2,1199,0,2398.0,1353.46,Completed
ORD-10246,2026-05-20,North,Zoya,Organic,Fashion,Canvas Tote,1,499,0,499.0,224.45,Completed
ORD-10247,2026-05-20,West,Rohan,Email,Home,Coffee Press,2,699,0,1398.0,913.72,Completed
