MonthStart,AccountCode,AccountName,Statement,Type,Amount
2024-07-01,4020,Other Income,P&L,Other Income,61090
2024-07-01,5010,COGS,P&L,COGS,1087868
2024-07-01,6010,Salaries,P&L,OpEx,425974
2024-07-01,6020,Rent,P&L,OpEx,86778
2024-07-01,6030,Marketing,P&L,OpEx,135535
2024-07-01,6040,Utilities,P&L,OpEx,27130
2024-07-01,6050,Travel,P&L,OpEx,40501
2024-07-01,6060,Depreciation,P&L,OpEx,97850
2024-07-01,1010,Cash,B/S,Asset,1034684
2024-07-01,1020,Accounts Receivable,B/S,Asset,1145145
2024-07-01,1030,Inventory,B/S,Asset,773659
2024-07-01,2010,Accounts Payable,B/S,Liability,694776
2024-07-01,1040,Fixed Assets (net),B/S,Asset,5930000
2024-07-01,2020,Bank Loan,B/S,Liability,2850000
2024-07-01,3000,Share Capital,B/S,Equity,2000000
2024-07-01,3010,Retained Earnings,B/S,Equity,2370000
2024-08-01,4010,Sales Revenue,P&L,Revenue,2032203
2024-08-01,4020,Other Income,P&L,Other Income,68048
2024-08-01,5010,COGS,P&L,COGS,1188228
2024-08-01,6010,Salaries,P&L,OpEx,430847
2024-08-01,6020,Rent,P&L,OpEx,87826
2024-08-01,6030,Marketing,P&L,OpEx,117885
2024-08-01,6040,Utilities,P&L,OpEx,30761
2024-08-01,6050,Travel,P&L,OpEx,57234
2024-08-01,6060,Depreciation,P&L,OpEx,98325
2024-08-01,1010,Cash,B/S,Asset,876178
2024-08-01,1020,Accounts Receivable,B/S,Asset,1182989
2024-08-01,1030,Inventory,B/S,Asset,746720
2024-08-01,2010,Accounts Payable,B/S,Liability,688547
2024-08-01,1040,Fixed Assets (net),B/S,Asset,5835000
2024-08-01,2020,Bank Loan,B/S,Liability,2825000
2024-08-01,3000,Share Capital,B/S,Equity,2000000
2024-08-01,3010,Retained Earnings,B/S,Equity,2465000
2024-09-01,4010,Sales Revenue,P&L,Revenue,1951436
2024-09-01,4020,Other Income,P&L,Other Income,57959
2024-09-01,5010,COGS,P&L,COGS,1075922
2024-09-01,6010,Salaries,P&L,OpEx,435384
2024-09-01,6020,Rent,P&L,OpEx,88169
2024-09-01,6030,Marketing,P&L,OpEx,127781
2024-09-01,6040,Utilities,P&L,OpEx,31231
2024-09-01,6050,Travel,P&L,OpEx,51258
2024-09-01,6060,Depreciation,P&L,OpEx,98800
2024-09-01,1010,Cash,B/S,Asset,976811
2024-09-01,1020,Accounts Receivable,B/S,Asset,1294050
2024-09-01,1030,Inventory,B/S,Asset,724338
2024-09-01,2010,Accounts Payable,B/S,Liability,728595
2024-09-01,1040,Fixed Assets (net),B/S,Asset,5740000
2024-09-01,2020,Bank Loan,B/S,Liability,2800000
2024-09-01,3000,Share Capital,B/S,Equity,2000000
2024-09-01,3010,Retained Earnings,B/S,Equity,2560000
2024-10-01,4010,Sales Revenue,P&L,Revenue,2019850
2024-10-01,4020,Other Income,P&L,Other Income,69745
2024-10-01,5010,COGS,P&L,COGS,1190589
2024-10-01,6010,Salaries,P&L,OpEx,437011
2024-10-01,6020,Rent,P&L,OpEx,88646
2024-10-01,6030,Marketing,P&L,OpEx,107502
2024-10-01,6040,Utilities,P&L,OpEx,29889
2024-10-01,6050,Travel,P&L,OpEx,36732
2024-10-01,6060,Depreciation,P&L,OpEx,99275
2024-10-01,1010,Cash,B/S,Asset,883598
2024-10-01,1020,Accounts Receivable,B/S,Asset,1165576
2024-10-01,1030,Inventory,B/S,Asset,760039
2024-10-01,2010,Accounts Payable,B/S,Liability,646779
2024-10-01,1040,Fixed Assets (net),B/S,Asset,5645000
2024-10-01,2020,Bank Loan,B/S,Liability,2775000
2024-10-01,3000,Share Capital,B/S,Equity,2000000
2024-10-01,3010,Retained Earnings,B/S,Equity,2655000
2024-11-01,4010,Sales Revenue,P&L,Revenue,1787173
2024-11-01,4020,Other Income,P&L,Other Income,56409
2024-11-01,5010,COGS,P&L,COGS,1099763
2024-11-01,6010,Salaries,P&L,OpEx,438594
2024-11-01,6020,Rent,P&L,OpEx,88403
2024-11-01,6030,Marketing,P&L,OpEx,142980
2024-11-01,6040,Utilities,P&L,OpEx,29937
2024-11-01,6050,Travel,P&L,OpEx,38947
2024-11-01,6060,Depreciation,P&L,OpEx,99750
2024-11-01,1010,Cash,B/S,Asset,915205
2024-11-01,1020,Accounts Receivable,B/S,Asset,1216041
2024-11-01,1030,Inventory,B/S,Asset,732931
2024-11-01,2010,Accounts Payable,B/S,Liability,723707
2024-11-01,1040,Fixed Assets (net),B/S,Asset,5550000
2024-11-01,2020,Bank Loan,B/S,Liability,2750000
2024-11-01,3000,Share Capital,B/S,Equity,2000000
2024-11-01,3010,Retained Earnings,B/S,Equity,2750000
2024-12-01,4010,Sales Revenue,P&L,Revenue,2105736
2024-12-01,4020,Other Income,P&L,Other Income,62654
2024-12-01,5010,COGS,P&L,COGS,1158249
2024-12-01,6010,Salaries,P&L,OpEx,435760
2024-12-01,6020,Rent,P&L,OpEx,88962
2024-12-01,6030,Marketing,P&L,OpEx,119428
2024-12-01,6040,Utilities,P&L,OpEx,28428
2024-12-01,6050,Travel,P&L,OpEx,55281
2024-12-01,6060,Depreciation,P&L,OpEx,100225
2024-12-01,1010,Cash,B/S,Asset,841266
2024-12-01,1020,Accounts Receivable,B/S,Asset,1362746
2024-12-01,1030,Inventory,B/S,Asset,783527
2024-12-01,2010,Accounts Payable,B/S,Liability,655862
2024-12-01,1040,Fixed Assets (net),B/S,Asset,5455000
2024-12-01,2020,Bank Loan,B/S,Liability,2725000
2024-12-01,3000,Share Capital,B/S,Equity,2000000
2024-12-01,3010,Retained Earnings,B/S,Equity,2845000
2025-01-01,4010,Sales Revenue,P&L,Revenue,2160824
2025-01-01,4020,Other Income,P&L,Other Income,59725
2025-01-01,5010,COGS,P&L,COGS,1280304
2025-01-01,6010,Salaries,P&L,OpEx,496525
2025-01-01,6020,Rent,P&L,OpEx,99316
2025-01-01,6030,Marketing,P&L,OpEx,149032
2025-01-01,6040,Utilities,P&L,OpEx,31239
2025-01-01,6050,Travel,P&L,OpEx,48721
2025-01-01,6060,Depreciation,P&L,OpEx,110200
2025-01-01,1010,Cash,B/S,Asset,1012002
2025-01-01,1020,Accounts Receivable,B/S,Asset,1258148
2025-01-01,1030,Inventory,B/S,Asset,814826
2025-01-01,2010,Accounts Payable,B/S,Liability,673546
2025-01-01,1040,Fixed Assets (net),B/S,Asset,5360000
2025-01-01,2020,Bank Loan,B/S,Liability,2700000
2025-01-01,3000,Share Capital,B/S,Equity,2000000
2025-01-01,3010,Retained Earnings,B/S,Equity,2940000
2025-02-01,4010,Sales Revenue,P&L,Revenue,2059744
2025-02-01,4020,Other Income,P&L,Other Income,76432
2025-02-01,5010,COGS,P&L,COGS,1356072
2025-02-01,6010,Salaries,P&L,OpEx,496202
2025-02-01,6020,Rent,P&L,OpEx,99631
2025-02-01,6030,Marketing,P&L,OpEx,155821
2025-02-01,6040,Utilities,P&L,OpEx,33872
2025-02-01,6050,Travel,P&L,OpEx,45262
2025-02-01,6060,Depreciation,P&L,OpEx,110675
2025-02-01,1010,Cash,B/S,Asset,917068
2025-02-01,1020,Accounts Receivable,B/S,Asset,1132245
2025-02-01,1030,Inventory,B/S,Asset,721087
2025-02-01,2010,Accounts Payable,B/S,Liability,668692
2025-02-01,1040,Fixed Assets (net),B/S,Asset,5265000
2025-02-01,2020,Bank Loan,B/S,Liability,2675000
2025-02-01,3000,Share Capital,B/S,Equity,2000000
2025-02-01,3010,Retained Earnings,B/S,Equity,3035000
2025-03-01,4010,Sales Revenue,P&L,Revenue,2081097
2025-03-01,4020,Other Income,P&L,Other Income,74255
2025-03-01,5010,COGS,P&L,COGS,1357504
2025-03-01,6010,Salaries,P&L,OpEx,490363
2025-03-01,6020,Rent,P&L,OpEx,100319
2025-03-01,6030,Marketing,P&L,OpEx,165067
2025-03-01,6040,Utilities,P&L,OpEx,35145
2025-03-01,6050,Travel,P&L,OpEx,49087
2025-03-01,6060,Depreciation,P&L,OpEx,111150
2025-03-01,1010,Cash,B/S,Asset,887721
2025-03-01,1020,Accounts Receivable,B/S,Asset,1174177
2025-03-01,1030,Inventory,B/S,Asset,743106
2025-03-01,2010,Accounts Payable,B/S,Liability,701985
2025-03-01,1040,Fixed Assets (net),B/S,Asset,5170000
2025-03-01,2020,Bank Loan,B/S,Liability,2650000
2025-03-01,3000,Share Capital,B/S,Equity,2000000
2025-03-01,3010,Retained Earnings,B/S,Equity,3130000
2025-04-01,4010,Sales Revenue,P&L,Revenue,2312977
2025-04-01,4020,Other Income,P&L,Other Income,77700
2025-04-01,5010,COGS,P&L,COGS,1289316
2025-04-01,6010,Salaries,P&L,OpEx,496520
2025-04-01,6020,Rent,P&L,OpEx,100474
2025-04-01,6030,Marketing,P&L,OpEx,119923
2025-04-01,6040,Utilities,P&L,OpEx,33745
2025-04-01,6050,Travel,P&L,OpEx,63708
2025-04-01,6060,Depreciation,P&L,OpEx,111625
2025-04-01,1010,Cash,B/S,Asset,1007032
2025-04-01,1020,Accounts Receivable,B/S,Asset,1244508
2025-04-01,1030,Inventory,B/S,Asset,739880
2025-04-01,2010,Accounts Payable,B/S,Liability,717930
2025-04-01,1040,Fixed Assets (net),B/S,Asset,5075000
2025-04-01,2020,Bank Loan,B/S,Liability,2625000
2025-04-01,3000,Share Capital,B/S,Equity,2000000
2025-04-01,3010,Retained Earnings,B/S,Equity,3225000
2025-05-01,4010,Sales Revenue,P&L,Revenue,2124502
2025-05-01,4020,Other Income,P&L,Other Income,77189
2025-05-01,5010,COGS,P&L,COGS,1371465
2025-05-01,6010,Salaries,P&L,OpEx,493535
2025-05-01,6020,Rent,P&L,OpEx,100102
2025-05-01,6030,Marketing,P&L,OpEx,164376
2025-05-01,6040,Utilities,P&L,OpEx,34228
2025-05-01,6050,Travel,P&L,OpEx,44339
2025-05-01,6060,Depreciation,P&L,OpEx,112100
2025-05-01,1010,Cash,B/S,Asset,870462
2025-05-01,1020,Accounts Receivable,B/S,Asset,1351213
2025-05-01,1030,Inventory,B/S,Asset,818251
2025-05-01,2010,Accounts Payable,B/S,Liability,655820
2025-05-01,1040,Fixed Assets (net),B/S,Asset,4980000
2025-05-01,2020,Bank Loan,B/S,Liability,2600000
2025-05-01,3000,Share Capital,B/S,Equity,2000000
2025-05-01,3010,Retained Earnings,B/S,Equity,3320000
2025-06-01,4010,Sales Revenue,P&L,Revenue,2306777
2025-06-01,4020,Other Income,P&L,Other Income,81345
2025-06-01,5010,COGS,P&L,COGS,1328100
2025-06-01,6010,Salaries,P&L,OpEx,494722
2025-06-01,6020,Rent,P&L,OpEx,100823
2025-06-01,6030,Marketing,P&L,OpEx,123309
2025-06-01,6040,Utilities,P&L,OpEx,30601
2025-06-01,6050,Travel,P&L,OpEx,65880
2025-06-01,6060,Depreciation,P&L,OpEx,112575
2025-06-01,1010,Cash,B/S,Asset,956060
2025-06-01,1020,Accounts Receivable,B/S,Asset,1358406
2025-06-01,1030,Inventory,B/S,Asset,771739
2025-06-01,2010,Accounts Payable,B/S,Liability,725910
2025-06-01,1040,Fixed Assets (net),B/S,Asset,4885000
2025-06-01,2020,Bank Loan,B/S,Liability,2575000
2025-06-01,3000,Share Capital,B/S,Equity,2000000
2025-06-01,3010,Retained Earnings,B/S,Equity,3415000
2025-07-01,4010,Sales Revenue,P&L,Revenue,2316385
2025-07-01,4020,Other Income,P&L,Other Income,65211
2025-07-01,5010,COGS,P&L,COGS,1270018
2025-07-01,6010,Salaries,P&L,OpEx,495661
2025-07-01,6020,Rent,P&L,OpEx,100625
2025-07-01,6030,Marketing,P&L,OpEx,147244
2025-07-01,6040,Utilities,P&L,OpEx,32037
2025-07-01,6050,Travel,P&L,OpEx,51382
2025-07-01,6060,Depreciation,P&L,OpEx,113050
2025-07-01,1010,Cash,B/S,Asset,1043484
2025-07-01,1020,Accounts Receivable,B/S,Asset,1213446
2025-07-01,1030,Inventory,B/S,Asset,774778
2025-07-01,2010,Accounts Payable,B/S,Liability,698051
2025-07-01,1040,Fixed Assets (net),B/S,Asset,4790000
2025-07-01,2020,Bank Loan,B/S,Liability,2550000
2025-07-01,3000,Share Capital,B/S,Equity,2000000
2025-07-01,3010,Retained Earnings,B/S,Equity,3510000
2025-08-01,4010,Sales Revenue,P&L,Revenue,2353758
2025-08-01,4020,Other Income,P&L,Other Income,69993
2025-08-01,5010,COGS,P&L,COGS,1380391
2025-08-01,6010,Salaries,P&L,OpEx,501933
2025-08-01,6020,Rent,P&L,OpEx,101640
2025-08-01,6030,Marketing,P&L,OpEx,144614
2025-08-01,6040,Utilities,P&L,OpEx,30883
2025-08-01,6050,Travel,P&L,OpEx,52165
2025-08-01,6060,Depreciation,P&L,OpEx,113525
2025-08-01,1010,Cash,B/S,Asset,836897
2025-08-01,1020,Accounts Receivable,B/S,Asset,1324793
2025-08-01,1030,Inventory,B/S,Asset,739109
2025-08-01,2010,Accounts Payable,B/S,Liability,687439
2025-08-01,1040,Fixed Assets (net),B/S,Asset,4695000
2025-08-01,2020,Bank Loan,B/S,Liability,2525000
2025-08-01,3000,Share Capital,B/S,Equity,2000000
2025-08-01,3010,Retained Earnings,B/S,Equity,3605000
2025-09-01,4010,Sales Revenue,P&L,Revenue,2299989
2025-09-01,4020,Other Income,P&L,Other Income,73220
2025-09-01,5010,COGS,P&L,COGS,1292436
2025-09-01,6010,Salaries,P&L,OpEx,504370
2025-09-01,6020,Rent,P&L,OpEx,102113
2025-09-01,6030,Marketing,P&L,OpEx,158737
2025-09-01,6040,Utilities,P&L,OpEx,31482
2025-09-01,6050,Travel,P&L,OpEx,55628
2025-09-01,6060,Depreciation,P&L,OpEx,114000
2025-09-01,1010,Cash,B/S,Asset,899137
2025-09-01,1020,Accounts Receivable,B/S,Asset,1318065
2025-09-01,1030,Inventory,B/S,Asset,780963
2025-09-01,2010,Accounts Payable,B/S,Liability,695963
2025-09-01,1040,Fixed Assets (net),B/S,Asset,4600000
2025-09-01,2020,Bank Loan,B/S,Liability,2500000
2025-09-01,3000,Share Capital,B/S,Equity,2000000
2025-09-01,3010,Retained Earnings,B/S,Equity,3700000
2025-10-01,4010,Sales Revenue,P&L,Revenue,2321984
2025-10-01,4020,Other Income,P&L,Other Income,81247
2025-10-01,5010,COGS,P&L,COGS,1316473
2025-10-01,6010,Salaries,P&L,OpEx,508378
2025-10-01,6020,Rent,P&L,OpEx,102436
2025-10-01,6030,Marketing,P&L,OpEx,145233
2025-10-01,6040,Utilities,P&L,OpEx,34780
2025-10-01,6050,Travel,P&L,OpEx,52933
2025-10-01,6060,Depreciation,P&L,OpEx,114475
2025-10-01,1010,Cash,B/S,Asset,944992
2025-10-01,1020,Accounts Receivable,B/S,Asset,1360375
2025-10-01,1030,Inventory,B/S,Asset,804862
2025-10-01,2010,Accounts Payable,B/S,Liability,726373
2025-10-01,1040,Fixed Assets (net),B/S,Asset,4505000
2025-10-01,2020,Bank Loan,B/S,Liability,2475000
2025-10-01,3000,Share Capital,B/S,Equity,2000000
2025-10-01,3010,Retained Earnings,B/S,Equity,3795000
2025-11-01,4010,Sales Revenue,P&L,Revenue,2396871
2025-11-01,4020,Other Income,P&L,Other Income,67364
2025-11-01,5010,COGS,P&L,COGS,1340506
2025-11-01,6010,Salaries,P&L,OpEx,517211
2025-11-01,6020,Rent,P&L,OpEx,103549
2025-11-01,6030,Marketing,P&L,OpEx,126232
2025-11-01,6040,Utilities,P&L,OpEx,31829
2025-11-01,6050,Travel,P&L,OpEx,52874
2025-11-01,6060,Depreciation,P&L,OpEx,114950
2025-11-01,1010,Cash,B/S,Asset,890866
2025-11-01,1020,Accounts Receivable,B/S,Asset,1143280
2025-11-01,1030,Inventory,B/S,Asset,801150
2025-11-01,2010,Accounts Payable,B/S,Liability,717428
2025-11-01,1040,Fixed Assets (net),B/S,Asset,4410000
2025-11-01,2020,Bank Loan,B/S,Liability,2450000
2025-11-01,3000,Share Capital,B/S,Equity,2000000
2025-11-01,3010,Retained Earnings,B/S,Equity,3890000
2025-12-01,4010,Sales Revenue,P&L,Revenue,2390537
2025-12-01,4020,Other Income,P&L,Other Income,65343
2025-12-01,5010,COGS,P&L,COGS,1371161
2025-12-01,6010,Salaries,P&L,OpEx,513571
2025-12-01,6020,Rent,P&L,OpEx,102538
2025-12-01,6030,Marketing,P&L,OpEx,165894
2025-12-01,6040,Utilities,P&L,OpEx,36565
2025-12-01,6050,Travel,P&L,OpEx,47009
2025-12-01,6060,Depreciation,P&L,OpEx,115425
2025-12-01,1010,Cash,B/S,Asset,926803
2025-12-01,1020,Accounts Receivable,B/S,Asset,1246815
2025-12-01,1030,Inventory,B/S,Asset,841136
2025-12-01,2010,Accounts Payable,B/S,Liability,722114
2025-12-01,1040,Fixed Assets (net),B/S,Asset,4315000
2025-12-01,2020,Bank Loan,B/S,Liability,2425000
2025-12-01,3000,Share Capital,B/S,Equity,2000000
2025-12-01,3010,Retained Earnings,B/S,Equity,3985000
