order_id,order_date,customer_id,product_id,quantity,revenue,cost,status
O-0217,2026-06-25,C-051,P-33,1,1274.15,686.92,Completed
O-0218,2026-06-26,C-047,P-52,2,2698.2,1529.69,Completed
O-0219,2026-04-25,C-004,P-22,2,678.3,464.58,Completed
O-0220,2026-04-29,C-082,P-43,4,2376.6,1022.53,Completed
O-0221,2026-04-09,C-099,P-43,1,664.05,417.27,Completed
O-0222,2026-06-13,C-048,P-12,3,1887.3,1065.11,Canceled
O-0223,2026-04-01,C-008,P-32,4,5096.6,3520.06,Completed
O-0224,2026-06-17,C-060,P-42,2,678.3,486.6,Completed
O-0225,2026-06-02,C-054,P-43,3,1887.3,1137.72,Completed
O-0226,2026-06-12,C-088,P-43,2,1188.3,669.23,Completed
O-0227,2026-06-11,C-004,P-41,1,664.05,456.31,Completed
O-0228,2026-04-30,C-091,P-22,2,678.3,451.57,Completed
O-0229,2026-05-06,C-021,P-41,2,1328.1,777.24,Completed
O-0230,2026-04-25,C-077,P-31,1,1499,868.01,Completed
O-0231,2026-06-15,C-063,P-21,4,5696.2,3857.03,Completed
O-0232,2026-04-21,C-091,P-52,4,5996,3197.74,Returned
O-0233,2026-05-12,C-027,P-32,3,3822.45,2148.03,Completed
O-0234,2026-06-24,C-044,P-53,1,359.1,169.92,Completed
O-0235,2026-05-06,C-010,P-43,4,2656.2,1565.06,Completed
O-0236,2026-04-30,C-048,P-11,3,2697.3,1218.19,Completed
O-0237,2026-06-12,C-049,P-31,4,5096.6,3205.31,Completed
O-0238,2026-06-26,C-094,P-43,2,1398,720.53,Completed
O-0239,2026-04-17,C-019,P-33,3,3822.45,1750.62,Returned
O-0240,2026-04-30,C-045,P-32,4,5096.6,3611.01,Completed
O-0241,2026-06-26,C-024,P-33,3,4047.3,2132.08,Completed
O-0242,2026-06-14,C-089,P-11,2,1698.3,1068.04,Completed
O-0243,2026-06-29,C-002,P-51,4,1356.6,862.44,Completed
O-0244,2026-04-08,C-095,P-42,2,798,397.63,Canceled
O-0245,2026-04-08,C-022,P-53,4,1596,874.27,Completed
O-0246,2026-06-08,C-068,P-42,1,339.15,218.96,Completed
O-0247,2026-06-06,C-065,P-43,2,1328.1,823.89,Canceled
O-0248,2026-05-14,C-004,P-42,4,1436.4,1013.32,Completed
O-0249,2026-06-14,C-058,P-51,4,1596,752.24,Completed
O-0250,2026-05-01,C-044,P-32,2,2848.1,1641.02,Returned
O-0251,2026-06-23,C-012,P-21,1,1349.1,965.92,Completed
O-0252,2026-06-28,C-054,P-33,2,2548.3,1216.42,Completed
O-0253,2026-05-14,C-096,P-41,3,1887.3,869.42,Completed
O-0254,2026-05-16,C-007,P-53,4,1356.6,735.06,Completed
O-0255,2026-04-05,C-075,P-41,1,629.1,429.54,Completed
O-0256,2026-05-21,C-034,P-11,2,1798.2,1056.85,Completed
O-0257,2026-05-09,C-053,P-52,4,5096.6,2841.72,Canceled
O-0258,2026-05-18,C-032,P-33,4,5396.4,2363.25,Canceled
O-0259,2026-05-30,C-008,P-21,2,2998,2092.63,Completed
O-0260,2026-04-24,C-034,P-31,3,3822.45,1956.34,Completed
O-0261,2026-06-06,C-089,P-43,3,1782.45,1129.88,Completed
O-0262,2026-06-07,C-050,P-32,4,5096.6,2271.03,Completed
O-0263,2026-06-20,C-080,P-33,1,1499,989.46,Completed
O-0264,2026-05-10,C-014,P-41,1,629.1,275.92,Completed
O-0265,2026-05-15,C-016,P-23,2,798,399.05,Completed
O-0266,2026-04-02,C-008,P-42,1,379.05,257.63,Returned
O-0267,2026-04-03,C-016,P-33,3,4272.15,2727.91,Completed
O-0268,2026-04-23,C-045,P-42,2,758.1,434.83,Completed
O-0269,2026-04-09,C-073,P-11,2,1698.3,757.64,Completed
O-0270,2026-05-27,C-064,P-43,4,2376.6,1685.43,Completed
O-0271,2026-05-09,C-047,P-52,4,5996,3168.76,Completed
O-0272,2026-06-21,C-072,P-21,4,5096.6,2588.99,Completed
O-0273,2026-06-22,C-033,P-12,1,699,434.15,Returned
O-0274,2026-04-26,C-046,P-23,2,718.2,303.8,Completed
O-0275,2026-05-29,C-052,P-11,4,3996,2876.06,Returned
O-0276,2026-06-12,C-019,P-53,2,678.3,346.02,Completed
O-0277,2026-06-08,C-028,P-21,2,2998,2048.85,Completed
O-0278,2026-04-10,C-036,P-51,4,1436.4,996.79,Canceled
O-0279,2026-06-29,C-050,P-43,3,2097,1352.01,Completed
O-0280,2026-05-21,C-083,P-13,1,399,251.9,Canceled
O-0281,2026-06-12,C-067,P-32,1,1274.15,745.53,Completed
O-0282,2026-06-07,C-050,P-42,4,1596,956.76,Returned
O-0283,2026-06-23,C-064,P-51,4,1356.6,588.3,Completed
O-0284,2026-05-12,C-013,P-53,2,798,462.5,Completed
O-0285,2026-04-05,C-053,P-31,2,2698.2,1278.55,Completed
O-0286,2026-06-16,C-058,P-21,2,2998,1299.28,Completed
O-0287,2026-05-04,C-001,P-52,1,1274.15,599.99,Completed
O-0288,2026-05-09,C-021,P-51,3,1137.15,482.68,Returned
O-0289,2026-05-19,C-025,P-42,2,678.3,476.37,Completed
O-0290,2026-05-15,C-038,P-13,3,1017.45,638.21,Returned
O-0291,2026-05-07,C-011,P-31,3,4272.15,2822.24,Completed
O-0292,2026-05-13,C-012,P-31,1,1349.1,814.99,Completed
O-0293,2026-04-24,C-054,P-52,4,5096.6,2707.59,Returned
O-0294,2026-06-24,C-051,P-12,2,1398,955.98,Canceled
O-0295,2026-04-27,C-023,P-53,1,399,253.55,Completed
O-0296,2026-05-25,C-030,P-31,3,4497,2264.3,Completed
O-0297,2026-04-05,C-020,P-11,4,3596.4,2490.48,Canceled
O-0298,2026-06-04,C-006,P-21,3,4047.3,2847.83,Completed
O-0299,2026-05-06,C-064,P-31,3,3822.45,2470.92,Completed
O-0300,2026-04-27,C-073,P-32,1,1424.05,786.77,Completed
O-0301,2026-05-08,C-034,P-13,2,718.2,310.35,Completed
O-0302,2026-05-02,C-078,P-22,4,1516.2,987.91,Completed
O-0303,2026-04-22,C-012,P-12,1,699,460.95,Returned
O-0304,2026-04-25,C-014,P-52,4,5096.6,2815.56,Completed
O-0305,2026-06-07,C-080,P-42,3,1197,526.83,Canceled
O-0306,2026-04-30,C-094,P-32,4,5396.4,2933.54,Completed
O-0307,2026-04-08,C-065,P-11,4,3996,1788.86,Completed
O-0308,2026-04-09,C-100,P-32,3,3822.45,2279.23,Completed
O-0309,2026-05-27,C-051,P-21,3,4272.15,2685.84,Completed
O-0310,2026-04-20,C-081,P-41,2,1398,904.47,Completed
O-0311,2026-06-14,C-013,P-43,1,699,438.44,Completed
O-0312,2026-05-02,C-081,P-22,3,1197,673.71,Completed
O-0313,2026-05-21,C-053,P-51,4,1356.6,938.55,Completed
O-0314,2026-06-13,C-073,P-43,3,2097,1162.29,Canceled
O-0315,2026-05-07,C-077,P-23,1,339.15,200.17,Completed
O-0316,2026-05-20,C-022,P-23,1,339.15,235.22,Completed
O-0317,2026-04-19,C-038,P-33,4,5996,3391.36,Completed
O-0318,2026-05-07,C-033,P-51,1,339.15,176.4,Completed
O-0319,2026-05-11,C-054,P-43,3,2097,967.2,Completed
O-0320,2026-05-09,C-045,P-12,4,2516.4,1188.63,Completed
O-0321,2026-04-17,C-071,P-52,3,4272.15,2357.26,Completed
O-0322,2026-06-08,C-022,P-43,4,2376.6,1313.8,Completed
O-0323,2026-05-16,C-024,P-53,3,1197,641.76,Completed
O-0324,2026-04-28,C-039,P-51,1,399,205.26,Returned
O-0325,2026-06-12,C-065,P-31,1,1499,1023.37,Completed
O-0326,2026-06-04,C-006,P-32,1,1349.1,893.72,Completed
O-0327,2026-05-19,C-023,P-41,3,1887.3,983.13,Completed
O-0328,2026-06-19,C-099,P-33,3,3822.45,1750.96,Returned
O-0329,2026-04-04,C-049,P-22,3,1197,825.83,Completed
O-0330,2026-06-29,C-091,P-31,2,2548.3,1767.71,Returned
O-0331,2026-04-02,C-096,P-33,2,2998,1840.68,Completed
O-0332,2026-04-30,C-091,P-31,4,5396.4,3132.09,Completed
O-0333,2026-06-11,C-005,P-41,1,594.15,401.69,Completed
O-0334,2026-05-15,C-064,P-32,2,2848.1,1794.02,Completed
O-0335,2026-04-22,C-047,P-51,2,718.2,419.26,Returned
O-0336,2026-05-20,C-016,P-31,4,5396.4,2822.99,Canceled
O-0337,2026-06-28,C-036,P-12,4,2376.6,1167.14,Completed
O-0338,2026-05-04,C-095,P-12,1,699,490.75,Returned
O-0339,2026-06-11,C-070,P-41,4,2376.6,1469.88,Completed
O-0340,2026-04-24,C-031,P-11,2,1798.2,772.4,Completed
O-0341,2026-04-15,C-075,P-11,2,1798.2,1122.63,Returned
O-0342,2026-04-09,C-025,P-11,1,899.1,628.79,Completed
O-0343,2026-05-27,C-099,P-13,3,1017.45,703.3,Completed
O-0344,2026-04-22,C-031,P-13,3,1197,542.04,Completed
O-0345,2026-04-11,C-095,P-21,1,1349.1,810.43,Completed
O-0346,2026-06-12,C-063,P-21,4,5696.2,3833.93,Completed
O-0347,2026-05-17,C-011,P-21,3,4047.3,2393.87,Completed
O-0348,2026-04-28,C-008,P-13,3,1197,654.25,Returned
O-0349,2026-05-13,C-053,P-13,1,339.15,221.46,Completed
O-0350,2026-05-13,C-076,P-43,2,1258.2,675.54,Completed
O-0351,2026-04-20,C-089,P-42,1,359.1,209.26,Completed
O-0352,2026-04-06,C-092,P-23,1,359.1,234.72,Completed
O-0353,2026-05-30,C-093,P-12,3,2097,1484.37,Completed
O-0354,2026-04-20,C-078,P-42,1,379.05,266.0,Returned
O-0355,2026-05-23,C-065,P-13,3,1017.45,465.76,Completed
O-0356,2026-04-30,C-057,P-52,2,2548.3,1661.72,Completed
O-0357,2026-06-28,C-003,P-12,3,2097,1106.01,Completed
O-0358,2026-04-27,C-062,P-11,1,949.05,656.63,Completed
O-0359,2026-06-24,C-040,P-32,2,2698.2,1522.62,Completed
O-0360,2026-05-20,C-054,P-33,3,4047.3,2309.72,Completed
O-0361,2026-06-13,C-005,P-23,3,1197,563.66,Returned
O-0362,2026-05-09,C-003,P-41,3,1887.3,976.08,Completed
O-0363,2026-06-02,C-066,P-33,2,2848.1,1767.04,Completed
O-0364,2026-05-12,C-057,P-23,3,1077.3,454.65,Returned
O-0365,2026-04-01,C-013,P-41,2,1398,890.67,Completed
O-0366,2026-05-05,C-059,P-33,3,4047.3,2064.75,Completed
O-0367,2026-05-19,C-099,P-22,1,359.1,258.31,Returned
O-0368,2026-05-25,C-025,P-51,1,399,230.03,Completed
O-0369,2026-04-21,C-076,P-42,3,1077.3,741.88,Completed
O-0370,2026-06-11,C-003,P-42,3,1077.3,466.28,Completed
O-0371,2026-05-12,C-099,P-43,3,1887.3,1214.48,Completed
O-0372,2026-05-03,C-020,P-23,1,399,261.73,Completed
O-0373,2026-04-02,C-090,P-32,2,2548.3,1160.56,Completed
O-0374,2026-04-20,C-084,P-42,1,399,195.71,Canceled
O-0375,2026-06-07,C-055,P-53,1,359.1,236.7,Completed
O-0376,2026-04-03,C-040,P-13,3,1197,663.67,Completed
O-0377,2026-05-21,C-068,P-41,2,1258.2,756.46,Completed
O-0378,2026-04-09,C-033,P-52,2,2548.3,1493.87,Completed
O-0379,2026-05-29,C-024,P-13,3,1017.45,689.99,Canceled
O-0380,2026-05-09,C-018,P-41,3,1782.45,814.94,Completed
O-0381,2026-04-22,C-047,P-42,4,1516.2,656.67,Canceled
O-0382,2026-04-06,C-019,P-31,1,1349.1,572.25,Completed
O-0383,2026-04-19,C-059,P-42,2,798,411.8,Completed
O-0384,2026-04-29,C-072,P-43,2,1258.2,896.22,Completed
O-0385,2026-06-09,C-037,P-11,2,1698.3,777.19,Canceled
O-0386,2026-04-07,C-003,P-12,4,2516.4,1242.65,Completed
O-0387,2026-04-03,C-063,P-52,2,2998,1906.93,Completed
O-0388,2026-05-19,C-100,P-52,1,1274.15,694.01,Completed
O-0389,2026-05-04,C-087,P-11,1,999,422.56,Completed
O-0390,2026-04-18,C-090,P-53,2,758.1,518.84,Completed
O-0391,2026-05-14,C-008,P-33,1,1274.15,631.49,Completed
O-0392,2026-06-25,C-066,P-31,2,2698.2,1501.7,Returned
O-0393,2026-04-11,C-008,P-52,3,3822.45,2082.72,Completed
O-0394,2026-05-17,C-076,P-32,1,1274.15,753.47,Completed
O-0395,2026-06-02,C-057,P-31,4,5096.6,2661.74,Completed
O-0396,2026-05-01,C-031,P-33,2,2548.3,1120.59,Canceled
O-0397,2026-05-14,C-052,P-12,2,1188.3,732.1,Completed
O-0398,2026-06-10,C-096,P-32,1,1424.05,756.53,Completed
O-0399,2026-06-27,C-003,P-41,3,1887.3,863.62,Completed
O-0400,2026-05-13,C-059,P-53,3,1137.15,807.67,Completed
O-0401,2026-04-04,C-015,P-33,3,4272.15,2916.13,Completed
